week,f1,pr_auc,max_psi,n_drifted,alert_status
1,1.0,1.0,0.003638099303553427,0,OK
2,1.0,1.0,0.0033150819522913644,0,OK
3,0.9666165915539977,1.0,0.003582075321163153,0,OK
4,0.9814313461159947,0.9945054945054945,0.005190409205845113,0,OK
5,0.9373998397435898,1.0,0.10573090962021713,1,WARNING
6,0.9209023460364165,0.8824932012432013,0.20070949452977893,4,CRITICAL
7,0.9544953994848879,0.9166666666666667,0.40969687862995974,4,CRITICAL
8,1.0,1.0,0.6510331636993714,4,CRITICAL
9,0.9116144504481147,0.9181985294117647,1.1542432175225357,4,CRITICAL
10,0.934632262900323,0.9175654853620956,1.686860159537506,4,CRITICAL
11,0.9614382008606994,0.9363905325443784,2.2181623353537265,4,CRITICAL
12,0.9284712883751538,0.9379251700680271,2.9578189881699886,4,CRITICAL
